Month,Date,"GST Invoice No","Pran Number",total_contribution_amount,contribution_month,contribution_year,"account opening",IGST,CGST,SGST,POP,"POP IGST","POP CGST","POP SGST","Payment Gateway Charges Amount(in ₹)","Payment Gateway Charges Tax(in ₹)","Net Amount",Type,"CHO Reg No","CBO Reg No","CHO Name/Retail","transaction id","Cra Transaction ID","Receipts No.","Pran Generation date",Tier,"Contribution type",Corp/Retail,SIP/Subs,"Registration Charges","Contribution Fees","Maximum Fees","Minimum Fees","Date of Transfer",State,Channel,"Refund Status"
Jun,21/05/2025,COR/0525/00008,"	110270912314",200.23,6,2025,,,,,20.00,0.00,1.80,1.80,,,176.63,NSDL,7000000,1000000,"Corp 7",,CRA_TID_1747829328,,,"Tier 2",t2,CORP,,,0.5000000000,20,25000,,Maharashtra,,
Jun,21/05/2025,COR/0525/00008,"	110135946225",570.31,6,2025,,,,,20.00,0.00,1.80,1.80,,,546.71,NSDL,7000000,1000000,"Corp 7",,CRA_TID_1747829328,,,"Tier 1",C,CORP,,,0.5000000000,20,25000,,Maharashtra,,
Jun,21/05/2025,COR/0525/00008,"	110063324398","22,867.23",6,2025,,,,,113.66,0.00,10.23,10.23,,,"22,732.31",NSDL,7000000,1000000,"Corp 7",,CRA_TID_1747829328,,,"Tier 1",C,CORP,,,0.5000000000,20,25000,,Maharashtra,,
Jun,21/05/2025,COR/0525/00008,"	110212102724","98,004,000.64",6,2025,,,,,"25,000.00",0.00,"2,250.00","2,250.00",,,"97,974,500.64",NSDL,7000000,1000000,"Corp 7",,CRA_TID_1747829328,,,"Tier 1",C,CORP,,,0.5000000000,20,25000,,Maharashtra,,
Jun,21/05/2025,COR/0525/00008,"	110261962195","25,233.35",6,2025,,,,,125.42,0.00,11.29,11.29,,,"25,084.47",NSDL,7000000,1000000,"Corp 7",,CRA_TID_1747829328,,,"Tier 1",V,CORP,,,0.5000000000,20,25000,,Maharashtra,,
Jun,21/05/2025,COR/0525/00008,"	110186521375","25,025.23",6,2025,,,,,124.39,0.00,11.19,11.19,,,"24,877.58",NSDL,7000000,1000000,"Corp 7",,CRA_TID_1747829328,,,"Tier 1",C,CORP,,,0.5000000000,20,25000,,Maharashtra,,
May,21/05/2025,COR/0525/00007,"	110186521375","25,025.23",5,2025,,,,,124.83,0.00,11.23,11.23,,,"24,966.17",NSDL,7000000,1000000,"Corp 7",,CRA_TID_1747828584,,,"Tier 1",C,CORP,,,0.5000000000,20,25000,,Maharashtra,,
May,21/05/2025,COR/0525/00007,"	110135946225",570.31,5,2025,,,,,20.00,0.00,1.80,1.80,,,534.91,NSDL,7000000,1000000,"Corp 7",,CRA_TID_1747828584,,,"Tier 1",C,CORP,,,0.5000000000,20,25000,,Maharashtra,,
May,21/05/2025,COR/0525/00007,"	110063324398","22,867.23",5,2025,,,,,114.07,0.00,10.27,10.27,,,"22,813.26",NSDL,7000000,1000000,"Corp 7",,CRA_TID_1747828584,,,"Tier 1",C,CORP,,,0.5000000000,20,25000,,Maharashtra,,
May,21/05/2025,COR/0525/00007,"	110212102724","98,004,000.64",5,2025,,,,,"25,000.00",0.00,"2,250.00","2,250.00",,,"97,962,700.64",NSDL,7000000,1000000,"Corp 7",,CRA_TID_1747828584,,,"Tier 1",C,CORP,,,0.5000000000,20,25000,,Maharashtra,,
May,21/05/2025,COR/0525/00007,"	110261962195","25,233.35",5,2025,,,,,125.87,0.00,11.33,11.33,,,"25,173.80",NSDL,7000000,1000000,"Corp 7",,CRA_TID_1747828584,,,"Tier 1",V,CORP,,,0.5000000000,20,25000,,Maharashtra,,
May,21/05/2025,COR/0525/00007,"	110270912314",200.23,5,2025,,,,,20.00,0.00,1.80,1.80,,,164.83,NSDL,7000000,1000000,"Corp 7",,CRA_TID_1747828584,,,"Tier 2",t2,CORP,,,0.5000000000,20,25000,,Maharashtra,,
